GeneID	2_NPC_DMSO	2a_NPC_EPZ	4_NPC_DMSO	4a_NPC_EPZ	5_NPC_DMSO	5a_NPC_EPZ
ENSMUSG00000001493.9	12	29	15	20	10	11
ENSMUSG00000001494.6	22	15	26	32	19	27
ENSMUSG00000001496.15	0	4	0	5	1	1
ENSMUSG00000001497.18	11	13	30	31	4	1
ENSMUSG00000001504.10	2010	2047	2858	3368	3964	4031
ENSMUSG00000001506.10	35513	42848	16574	35602	6707	8810
ENSMUSG00000001507.16	3035	4234	6083	8932	2795	3249
ENSMUSG00000001508.15	0	6	4	7	1	7
ENSMUSG00000001510.8	159	285	420	581	177	248
ENSMUSG00000001517.14	2874	3380	4845	5022	2653	2760
ENSMUSG00000001518.12	2893	3492	2477	3449	2213	2476
ENSMUSG00000001520.12	66	90	30	34	20	27
ENSMUSG00000001521.12	3375	3705	2929	3308	1953	2040
ENSMUSG00000001524.14	1420	1775	1500	2133	1163	1242
ENSMUSG00000001525.10	191539	220275	167942	231877	177520	211989
ENSMUSG00000001542.7	728	820	623	611	318	402
ENSMUSG00000001552.14	5885	7995	8485	12781	5059	5756
ENSMUSG00000001555.10	2202	2550	1750	2644	495	713
ENSMUSG00000001558.5	100	122	69	129	35	50
ENSMUSG00000001566.9	145	183	206	283	255	298
ENSMUSG00000001569.10	3010	3293	2738	3430	2205	2404
ENSMUSG00000001576.14	10214	12590	9442	12694	7001	8494
ENSMUSG00000001583.13	142	222	560	470	46	40
ENSMUSG00000001588.12	109	169	149	193	68	61
ENSMUSG00000001604.14	497	498	308	244	70	79
ENSMUSG00000001622.15	8	6	4	16	8	12
ENSMUSG00000001627.12	5064	6108	4575	5816	3889	4459
ENSMUSG00000001630.13	2299	2449	2186	2544	1788	1953
ENSMUSG00000001632.16	5264	6329	5710	7125	4518	4850
ENSMUSG00000001642.18	5461	7704	4205	5048	2626	3237
ENSMUSG00000001655.6	17	33	79	86	10	17
ENSMUSG00000001656.3	0	1	0	0	0	0
ENSMUSG00000001657.7	205	186	234	598	18	39
ENSMUSG00000001661.5	2448	2508	4930	6637	4162	3505
ENSMUSG00000001663.10	51	87	69	93	21	21
ENSMUSG00000001665.11	60	109	103	132	15	25
ENSMUSG00000001666.8	971	1139	928	1241	734	942
ENSMUSG00000001670.13	1	1	2	4	1	0
ENSMUSG00000001672.14	36	84	69	97	36	60
ENSMUSG00000001674.11	5569	6617	5302	5976	3280	3612
ENSMUSG00000001687.15	5033	5341	4210	5320	4452	4865
ENSMUSG00000001700.9	667	686	819	831	294	345
ENSMUSG00000001707.8	5062	5763	4630	6168	4549	5179
ENSMUSG00000001729.14	19069	22065	19241	24002	17404	19615
ENSMUSG00000001739.14	83	98	82	226	78	71
ENSMUSG00000001741.12	52	60	34	29	27	30
