	mESC_DMSO_rep1	mESC_DMSO_rep2	mESC_DMSO_rep3	2_NPC_DMSO	4_NPC_DMSO	5_NPC_DMSO
ENSMUSG00000001173.15	5009	3162	4206	6317	4875	4421
ENSMUSG00000001175.14	27729	20997	24930	53845	47220	47347
ENSMUSG00000001211.15	10358	6403	12449	7314	6532	5338
ENSMUSG00000001225.12	1	2	2	3	2	1
ENSMUSG00000001227.11	791	684	770	3783	2903	3371
ENSMUSG00000001228.14	25238	23490	19062	7659	10153	4705
ENSMUSG00000001229.8	4590	2907	4110	4494	5059	4676
ENSMUSG00000001240.13	460	342	437	276	731	100
ENSMUSG00000001247.16	9291	7480	10237	688	2616	351
ENSMUSG00000001248.15	10986	9604	9701	21764	25335	22689
ENSMUSG00000001249.14	4868	4161	5234	56	111	26
ENSMUSG00000001260.10	0	17	3	351	109	108
ENSMUSG00000001270.9	30871	27110	19003	56061	49803	59782
ENSMUSG00000001280.13	16194	14585	12689	8613	8504	6055
ENSMUSG00000001281.10	521	871	270	96	61	12
ENSMUSG00000001285.12	2814	2586	2345	2886	2910	2510
ENSMUSG00000001288.15	5831	3443	6263	1583	1141	535
ENSMUSG00000001289.12	10458	7501	8392	10182	7902	8341
ENSMUSG00000001300.16	6582	3354	7997	13516	14687	10089
ENSMUSG00000001305.5	4491	3947	3058	1987	1977	1012
ENSMUSG00000001313.12	1580	1546	1446	6116	7553	9165
ENSMUSG00000001323.17	828	564	820	4409	3394	3346
ENSMUSG00000001333.9	206	152	149	39	46	28
ENSMUSG00000001334.9	675	282	768	660	404	842
ENSMUSG00000001348.15	1302	1916	827	146	560	103
ENSMUSG00000001349.5	2597	538	2207	36	103	39
ENSMUSG00000001366.14	1508	1154	1214	3145	2266	2342
ENSMUSG00000001376.17	3154	2789	2404	5469	4959	4554
ENSMUSG00000001380.6	6870	5116	5097	6340	6191	5139
ENSMUSG00000001383.8	9478	6401	7513	9300	8455	7942
ENSMUSG00000001403.13	26104	15223	20912	3443	5607	3304
ENSMUSG00000001415.10	11089	9077	8683	12517	13261	10756
ENSMUSG00000001416.13	68944	55386	47741	32852	30988	26137
ENSMUSG00000001418.13	9453	8085	8758	3254	6267	2380
ENSMUSG00000001419.17	7589	6330	7515	5827	6133	4532
ENSMUSG00000001420.13	1824	1420	1910	112	210	105
ENSMUSG00000001424.14	27300	20680	21654	11380	12780	8016
ENSMUSG00000001435.15	128605	60913	141769	5078	9793	3441
ENSMUSG00000001436.15	2386	1802	2227	1130	1078	810
ENSMUSG00000001440.5	65828	51288	54610	43610	41280	31537
ENSMUSG00000001441.13	22186	18648	18485	24930	22722	20405
ENSMUSG00000001444.2	17	20	16	13	4	3
ENSMUSG00000001445.10	7947	5840	6352	3836	4017	3078
ENSMUSG00000001467.5	19990	16659	21614	35052	30813	29198
ENSMUSG00000001472.17	15817	12499	14646	34045	33534	24863
ENSMUSG00000001473.6	24499	9984	23755	1363	2251	849
ENSMUSG00000001482.15	10260	9174	6902	6778	6265	4253
ENSMUSG00000001493.9	12	12	4	12	15	10
ENSMUSG00000001494.6	18	40	17	22	26	19
ENSMUSG00000001496.15	1	1	1	0	0	1
ENSMUSG00000001497.18	14	7	9	11	30	4
ENSMUSG00000001504.10	498	351	315	2010	2858	3964
ENSMUSG00000001506.10	7790	3283	5177	35513	16574	6707
ENSMUSG00000001507.16	35828	17081	41930	3035	6083	2795
ENSMUSG00000001508.15	40	14	30	0	4	1
ENSMUSG00000001510.8	1277	528	1397	159	420	177
ENSMUSG00000001517.14	11133	7006	10238	2874	4845	2653
ENSMUSG00000001518.12	2220	1698	1713	2893	2477	2213
ENSMUSG00000001520.12	13	9	7	66	30	20
ENSMUSG00000001521.12	7260	4816	6072	3375	2929	1953
ENSMUSG00000001524.14	3806	2968	3017	1420	1500	1163
ENSMUSG00000001525.10	199279	140928	175099	191539	167942	177520
ENSMUSG00000001542.7	3018	2846	2334	728	623	318
ENSMUSG00000001552.14	16401	10374	15696	5885	8485	5059
ENSMUSG00000001555.10	6248	2407	7766	2202	1750	495
ENSMUSG00000001558.5	170	91	132	100	69	35
ENSMUSG00000001566.9	104	44	90	145	206	255
ENSMUSG00000001569.10	3766	2999	3122	3010	2738	2205
ENSMUSG00000001576.14	26474	22423	23290	10214	9442	7001
ENSMUSG00000001583.13	2654	1805	2465	142	560	46
ENSMUSG00000001588.12	371	515	275	109	149	68
ENSMUSG00000001604.14	3401	2365	3114	497	308	70
ENSMUSG00000001622.15	208	155	279	8	4	8
ENSMUSG00000001627.12	5294	4509	3827	5064	4575	3889
ENSMUSG00000001630.13	2927	2345	2213	2299	2186	1788
ENSMUSG00000001632.16	4861	3917	3908	5264	5710	4518
ENSMUSG00000001642.18	10572	9521	7391	5461	4205	2626
ENSMUSG00000001655.6	364	215	196	17	79	10
ENSMUSG00000001656.3	0	2	1	0	0	0
ENSMUSG00000001657.7	44	15	28	205	234	18
ENSMUSG00000001661.5	45	12	39	2448	4930	4162
ENSMUSG00000001663.10	1200	437	1132	51	69	21
ENSMUSG00000001665.11	724	503	717	60	103	15
ENSMUSG00000001666.8	2337	1998	1740	971	928	734
ENSMUSG00000001670.13	4	3	2	1	2	1
ENSMUSG00000001672.14	1240	858	1440	36	69	36
ENSMUSG00000001674.11	10811	9421	7854	5569	5302	3280
ENSMUSG00000001687.15	6168	5385	4490	5033	4210	4452
ENSMUSG00000001700.9	2318	1634	1992	667	819	294
ENSMUSG00000001707.8	9769	8465	5999	5062	4630	4549
ENSMUSG00000001729.14	9885	7543	9346	19069	19241	17404
ENSMUSG00000001739.14	44	22	53	83	82	78
ENSMUSG00000001741.12	0	0	1	52	34	27
ENSMUSG00000001750.15	4947	3020	5615	834	1694	573
ENSMUSG00000001751.9	2889	1500	3404	774	1421	579
ENSMUSG00000001755.12	4488	3386	3912	2830	3153	2562
ENSMUSG00000001761.7	9439	4527	12140	4032	5434	3845
ENSMUSG00000001763.14	1750	1140	1946	206	471	211
ENSMUSG00000001767.5	4821	3467	3515	3895	3702	3326
ENSMUSG00000001768.16	1343	501	1616	1739	1323	1169
ENSMUSG00000001773.14	2	6	3	4	0	1
ENSMUSG00000001774.8	10072	8316	8175	7930	8566	8195
ENSMUSG00000001783.3	14420	9752	12133	11423	10853	9464
ENSMUSG00000001785.13	7834	6138	5555	4978	4642	3827
ENSMUSG00000001786.14	2493	2318	1967	921	911	607
ENSMUSG00000001794.13	35552	26410	24548	8369	8920	7248
ENSMUSG00000001802.16	1663	1236	1551	10689	9858	10833
ENSMUSG00000001804.9	0	0	3	1	8	1
ENSMUSG00000001815.15	0	0	0	27	58	58
ENSMUSG00000001819.4	21	35	14	6	20	18
ENSMUSG00000001823.5	1	1	0	0	1	1
ENSMUSG00000001827.12	3279	2453	3186	400	1402	222
ENSMUSG00000001829.17	12997	10801	10567	3534	3316	2253
ENSMUSG00000001833.17	21684	13295	21404	20692	18959	17024
ENSMUSG00000001844.10	1997	1641	1536	2025	1886	1703
ENSMUSG00000001847.14	25811	16090	23744	23063	21567	20187
ENSMUSG00000001855.15	7712	6295	5778	5602	5386	4049
ENSMUSG00000001864.13	5910	3068	4419	2508	2155	1586
ENSMUSG00000001865.2	0	0	1	0	0	0
ENSMUSG00000001870.15	2763	1935	3465	2874	4488	1223
ENSMUSG00000001891.16	3593	3359	2736	5535	5582	4001
ENSMUSG00000001901.15	55	94	31	101	109	83
ENSMUSG00000001909.16	6766	6413	6193	5390	6594	3203
ENSMUSG00000001910.4	15738	12790	13797	12395	13720	8325
ENSMUSG00000001911.16	88	55	88	3000	1449	517
ENSMUSG00000001918.17	22026	23200	18366	2917	3244	1269
ENSMUSG00000001924.15	36597	28408	29811	78916	63350	65556
ENSMUSG00000001930.17	537	776	185	18	45	10
ENSMUSG00000001942.8	2049	1781	1939	1477	2094	1062
ENSMUSG00000001943.8	55	91	26	58	143	14
ENSMUSG00000001946.14	318	337	217	188	799	240
ENSMUSG00000001948.10	379	191	256	192	242	226
ENSMUSG00000001962.8	5946	4426	4626	3398	3786	2876
ENSMUSG00000001964.14	13807	7361	10872	5017	5237	4131
ENSMUSG00000001983.7	619	504	511	1096	977	902
ENSMUSG00000001985.9	1730	1678	1831	14803	11370	12293
ENSMUSG00000001986.16	2015	472	2578	4733	3995	3636
ENSMUSG00000001988.9	139	64	202	9	6	1
ENSMUSG00000001995.9	5652	4725	4340	12427	8357	6696
ENSMUSG00000001998.15	1931	1469	1849	2601	2518	1955
ENSMUSG00000001999.15	1037	890	760	914	729	459
ENSMUSG00000002006.12	5622	8057	3559	17350	10878	12733
ENSMUSG00000002007.5	10	3	15	6	9	4
ENSMUSG00000002010.17	13960	11948	9749	8438	7766	7058
ENSMUSG00000002012.13	895	423	894	2169	1178	929
ENSMUSG00000002014.12	15647	10430	13005	5495	5726	3833
ENSMUSG00000002015.5	22138	14672	19897	4649	6899	3267
ENSMUSG00000002017.9	7631	5970	5332	5420	5267	4350
ENSMUSG00000002020.15	2477	791	1621	12	48	8
ENSMUSG00000002028.13	12303	8992	12107	18403	16345	14636
ENSMUSG00000002031.12	12132	11593	6342	5804	4944	4477
